PLAYER_ID,PLAYER_NAME,PRIMARY_POS,HEIGHT_CM,WEIGHT_KG,G,A,GP,PPG,PIM,LEAGUE_YEAR
18,David Printz,D,180,79,0,0,12,0,4,2006-2007
44,Christer Olsson,D,178,87,2,4,30,0.2,10,1996-1997
48,Tommy Sj・Edin,D,188,86,1,11,29,0.413793103448276,22,1993-1994
69,Niklas Kronwall,D,193,92,3,24,79,0.341772151898734,40,2018-2019
73,Leif Rohlin,D,188,82,2,8,40,0.25,8,1996-1997
75,Nils Ekman,LW,175,75,6,9,34,0.441176470588235,24,2006-2007
79,Johan Garpenl・Ev,RW,181,88,2,14,73,0.219178082191781,31,1999-2000
83,Ky・Esti Karjalainen,RW,195,113,1,8,28,0.321428571428571,12,1991-1992
89,Mathias Tj・Ernqvist,LW,191,93,4,7,78,0.141025641025641,34,2007-2008
97,Jonas Fr・Egren,D,183,86,1,6,41,0.170731707317073,28,2008-2009
108,J・Ergen J・Ensson,C,181,89,12,19,79,0.392405063291139,16,1999-2000
114,Rickard Wallin,C,185,91,2,7,60,0.15,20,2009-2010
117,Per Gustafsson,D,185,84,1,5,31,0.193548387096774,16,1997-1998
127,Johan Davidsson,C,182,92,3,4,19,0.368421052631579,2,1999-2000
155,Brandon Convery,C,191,104,2,7,15,0.6,12,1998-1999
183,Jonathan Hedstr・Em,LW,175,88,13,14,79,0.341772151898734,48,2005-2006
195,Peter Andersson,D,185,88,2,2,16,0.25,2,1993-1994
210,Frans Nielsen,C,183,87,10,25,72,0.486111111111111,14,2018-2019
213,Tomas Sandstr・Em,RW,177,80,15,17,58,0.551724137931034,42,1998-1999
229,Joakim Lindstr・Em,RW,193,102,4,6,53,0.188679245283019,12,2014-2015
236,Mattias Weinhandl,RW,188,93,1,1,12,0.166666666666667,10,2006-2007
250,Peter Popovic,D,180,93,1,6,60,0.116666666666667,48,2000-2001
259,Juha Lind,LW,185,90,3,4,47,0.148936170212766,4,2000-2001
281,Niklas Nordgren,RW,175,77,4,2,58,0.103448275862069,34,2005-2006
290,Christian B・Eckman,D,173,82,2,5,56,0.125,32,2008-2009
292,Magnus Johansson,D,183,75,0,14,45,0.311111111111111,18,2007-2008
297,Niklas Andersson,LW,173,75,0,1,11,0.0909090909090909,4,2000-2001
298,Mikael Andersson,W,181,82,2,6,55,0.145454545454545,4,1999-2000
299,Patrik Carnb・Eck,LW,189,87,6,12,34,0.529411764705882,34,1995-1996
305,Joel Lundqvist,C,183,93,1,5,43,0.13953488372093,20,2008-2009
342,Magnus Svensson,D,188,83,2,9,27,0.407407407407407,21,1995-1996
352,Robert Nilsson,LW,185,92,11,16,60,0.45,12,2009-2010
460,Alexander Steen,LW,178,75,10,17,65,0.415384615384615,14,2018-2019
467,Mats Sundin,C,178,84,9,19,41,0.682926829268293,28,2008-2009
471,Anders Eriksson,D,195,95,0,5,20,0.25,2,2009-2010
473,Fredrik Sj・Estr・Em,LW,178,79,2,3,66,0.0757575757575758,14,2010-2011
501,Jan Mertzig,D,174,85,0,2,23,0.0869565217391304,8,1998-1999
510,Jonas R・Ennqvist,C,183,81,0,4,38,0.105263157894737,14,2000-2001
513,Robert Burakovsky,RW,182,87,2,3,23,0.217391304347826,6,1993-1994
543,Staffan Kronwall,D,188,84,1,2,11,0.272727272727273,2,2009-2010
